stage,arm,seed,run_id,resumed,runner_wall_seconds,model_load_seconds,calib_seconds,patch_seconds,complete_persistent_model_bytes,quality_runtime_model_bytes,packed_weight_bytes,peak_vram_bytes_patch,peak_vram_bytes_eval,mean_teacher_kl,p95_teacher_kl,top1_agreement,trajectory_token_agreement,exact_trajectory_rate,mean_matching_prefix,kv_mean_teacher_kl,kv_top1_agreement,evaluation_halted,evaluation_halt_reasons,ppl_wikitext2,ppl_wikitext2_relative_to_source,ppl_c4,ppl_c4_relative_to_source
long-kv,source_fp16_e8,0,qwen35_4b_long_context_tiered_kv_cuda_patch.activation_bits=None_patch.enabled=False_stage_protocol=qwen35-next-stage-v2_stage_name=long-kv_stage_arm=source_fp16_e8_stage_code_revision=06c1e73eeae97aa0bfa_151d5fbabd6d_s0,False,10980.987704866999,39.22414568100021,,0.00014906299975336879,9078531392,9078531392,,9180272128,18860170240,,,,,,,0.019203685691153383,0.9296875,False,,,,,
long-kv,promoted_w4_e8,0,qwen35_4b_long_context_tiered_kv_cuda_patch.activation_bits=None_stage_protocol=qwen35-next-stage-v2_stage_name=long-kv_stage_arm=promoted_w4_e8_stage_code_revision=06c1e73eeae97aa0bfae432ea7f10d88fb70817_c92aae2caed8_s0,False,13302.182235586,6.481993452000097,2090.604035362001,288.05880563499886,3787286336,10917603136,1838284800,20285633024,20603157504,,,,,,,0.02000162510911524,0.9296875,False,,,,,
long-kv,w4a8_e8,0,qwen35_4b_long_context_tiered_kv_cuda_patch.activation_bits=8_stage_protocol=qwen35-next-stage-v2_stage_name=long-kv_stage_arm=w4a8_e8_stage_code_revision=06c1e73eeae97aa0bfae432ea7f10d88fb70817f_stage_tr_5e40ff14763c_s0,False,401.9249139409985,6.442658852000022,0.0,289.599146646,3787286336,10917603136,1838284800,20282225152,20599749632,,,,,,,0.02074405995600953,0.92578125,False,,,,,

